lotsizesquarefeet,calculatedfinishedsquarefeet,bedroomcnt,bathroomcnt,regionidzip,garagecarcnt,poolcnt,AgeofHouse,buildingclasstypeid
-0.05066856649684544,-0.05066856649684544,8.0,10.0,0,0.0,1.0,23.0,0.0
-0.007399774793620587,-0.007399774793620587,3.0,6.0,1,0.0,1.0,91.0,0.0
-0.0393236158294743,-0.0393236158294743,5.0,7.0,2,0.0,1.0,9.0,0.0
-0.006266092573688149,-0.006266092573688149,6.0,7.0,3,0.0,1.0,4.0,0.0
-0.09009211466877688,-0.09009211466877688,7.0,11.0,4,0.0,1.0,37.0,0.0
-0.0436450919592716,-0.0436450919592716,8.0,8.0,4,0.0,1.0,26.0,0.0
-0.011433407525526976,-0.011433407525526976,5.0,7.0,5,0.0,1.0,23.0,0.0
-0.001913058862062288,-0.001913058862062288,4.0,4.5,6,2.0,0.0,18.0,0.0
-0.0032614282674648504,-0.0032614282674648504,4.0,4.5,6,2.0,0.0,58.0,0.0
-0.0036319907813609446,-0.0036319907813609446,4.0,3.0,7,0.0,0.0,72.0,0.0
-0.00268765405239993,-0.00268765405239993,3.0,5.5,7,2.0,0.0,16.0,0.0
-0.004774279614519357,-0.004774279614519357,4.0,4.0,8,2.0,1.0,56.0,0.0
-0.0004929676797766106,-0.0004929676797766106,4.0,4.5,9,2.0,0.0,5.0,0.0
-0.004217718625906384,-0.004217718625906384,3.0,3.5,8,2.0,0.0,5.0,0.0
-0.12369807044512926,-0.12369807044512926,3.0,7.0,4,0.0,1.0,12.0,0.0
-0.02446238551411365,-0.02446238551411365,5.0,6.0,4,0.0,1.0,7.0,0.0
-0.04906964901753119,-0.04906964901753119,5.0,7.0,2,0.0,1.0,33.0,0.0
-0.04345096501650796,-0.04345096501650796,5.0,13.0,2,0.0,1.0,20.0,0.0
-0.02787395136785382,-0.02787395136785382,4.0,6.0,2,0.0,1.0,66.0,0.0
-0.0012054039968155531,-0.0012054039968155531,5.0,3.5,10,2.0,0.0,46.0,0.0
-0.0015401056222700898,-0.0015401056222700898,5.0,5.5,10,2.0,0.0,23.0,0.0
-0.009241590023978981,-0.009241590023978981,2.0,2.0,8,2.0,0.0,56.0,0.0
-0.010720493063308812,-0.010720493063308812,6.0,9.0,11,4.0,1.0,22.0,0.0
-0.022037711310285143,-0.022037711310285143,6.0,5.0,2,0.0,1.0,91.0,0.0
-0.008354152571345237,-0.008354152571345237,6.0,7.5,11,12.0,1.0,10.0,0.0
-0.48828616032686006,-0.48828616032686006,8.0,9.5,12,5.0,1.0,9.0,0.0
-0.006054274259293349,-0.006054274259293349,5.0,4.0,1,0.0,1.0,36.0,0.0
-0.007977852315298494,-0.007977852315298494,6.0,7.0,1,0.0,1.0,84.0,0.0
-0.03142178859767191,-0.03142178859767191,11.0,10.0,13,0.0,1.0,68.0,0.0
-0.017089386850529426,-0.017089386850529426,4.0,6.0,2,0.0,1.0,65.0,0.0
-0.019083252247880024,-0.019083252247880024,4.0,4.0,1,0.0,1.0,63.0,0.0
-0.09149499262461061,-0.09149499262461061,4.0,7.0,1,0.0,1.0,15.0,0.0
-0.006800658884056966,-0.006800658884056966,5.0,7.0,3,0.0,1.0,12.0,0.0
-0.0029439398684622613,-0.0029439398684622613,4.0,5.0,4,0.0,0.0,64.0,0.0
-0.008334548618997186,-0.008334548618997186,5.0,3.0,4,0.0,0.0,57.0,0.0
-0.021574388631620218,-0.021574388631620218,6.0,7.0,14,0.0,1.0,81.0,0.0
-0.013584104541661984,-0.013584104541661984,6.0,8.0,14,0.0,1.0,89.0,0.0
-0.01109249001274257,-0.01109249001274257,4.0,6.0,15,0.0,1.0,8.0,0.0
-0.00614846885959984,-0.00614846885959984,6.0,9.0,6,12.0,1.0,14.0,0.0
-0.001913058862062288,-0.001913058862062288,3.0,4.5,6,2.0,0.0,17.0,0.0
-0.001870025795932419,-0.001870025795932419,4.0,6.5,7,2.0,0.0,12.0,0.0
-0.008226965953672514,-0.008226965953672514,6.0,5.5,6,3.0,0.0,25.0,0.0
-0.011987577788243844,-0.011987577788243844,8.0,9.5,11,8.0,1.0,23.0,0.0
-0.011748505198633461,-0.011748505198633461,3.0,3.0,7,2.0,1.0,57.0,0.0
-0.0037940819971167845,-0.0037940819971167845,4.0,5.5,11,2.0,0.0,17.0,0.0
-0.016969850555724236,-0.016969850555724236,6.0,6.5,16,4.0,1.0,13.0,0.0
-0.006305778623563472,-0.006305778623563472,4.0,7.5,11,4.0,1.0,11.0,0.0
-0.009230592684856903,-0.009230592684856903,5.0,7.0,11,11.0,1.0,10.0,0.0
-0.06836615401534368,-0.06836615401534368,10.0,19.5,17,10.0,1.0,36.0,0.0
-0.008151897160534853,-0.008151897160534853,4.0,4.0,1,0.0,1.0,90.0,0.0
-0.034678913558523775,-0.034678913558523775,4.0,4.0,2,0.0,1.0,75.0,0.0
-0.006677775572997229,-0.006677775572997229,4.0,5.0,18,0.0,1.0,4.0,0.0
-0.04815543543486109,-0.04815543543486109,7.0,9.0,18,0.0,1.0,71.0,0.0
-0.007503054152332273,-0.007503054152332273,3.0,4.0,4,0.0,0.0,44.0,0.0
-0.03864034636836783,-0.03864034636836783,4.0,5.0,4,0.0,0.0,55.0,0.0
-0.001297686016405161,-0.001297686016405161,3.0,4.0,19,2.0,0.0,21.0,0.0
-0.00268765405239993,-0.00268765405239993,5.0,4.5,8,2.0,0.0,17.0,0.0
-0.00211387983733501,-0.00211387983733501,3.0,3.0,8,4.0,0.0,26.0,0.0
-0.0010595697171532192,-0.0010595697171532192,4.0,4.5,8,2.0,0.0,21.0,0.0
-0.0037873879646076938,-0.0037873879646076938,5.0,6.5,8,2.0,0.0,24.0,0.0
-0.0017887411154648887,-0.0017887411154648887,3.0,3.0,8,1.0,0.0,25.0,0.0
-0.033211486003495244,-0.033211486003495244,6.0,10.0,18,0.0,1.0,78.0,0.0
-0.02572660136797336,-0.02572660136797336,5.0,8.0,20,0.0,1.0,5.0,0.0
-0.000840579225070108,-0.000840579225070108,5.0,5.0,21,0.0,0.0,25.0,0.0
-0.005173530839168697,-0.005173530839168697,5.0,7.0,1,0.0,1.0,33.0,0.0
-0.01346265566613991,-0.01346265566613991,6.0,5.0,1,0.0,1.0,66.0,0.0
-0.06577365085360869,-0.06577365085360869,6.0,7.0,18,0.0,1.0,56.0,0.0
-0.01259577845621266,-0.01259577845621266,4.0,5.0,3,0.0,1.0,61.0,0.0
-0.023212992160809787,-0.023212992160809787,5.0,6.0,18,0.0,1.0,71.0,0.0
-0.005496756980321935,-0.005496756980321935,3.0,3.0,4,0.0,0.0,59.0,0.0
-0.06116480947109971,-0.06116480947109971,4.0,7.0,4,0.0,0.0,16.0,0.0
-0.0027158646179739556,-0.0027158646179739556,3.0,4.0,4,0.0,0.0,86.0,0.0
-0.023187172321131867,-0.023187172321131867,4.0,4.0,14,0.0,1.0,79.0,0.0
-0.0032504309283427728,-0.0032504309283427728,4.0,6.0,15,0.0,1.0,27.0,0.0
-0.0022095088731791633,-0.0022095088731791633,7.0,5.5,10,2.0,0.0,11.0,0.0
-0.0015687943330233358,-0.0015687943330233358,3.0,3.5,10,2.0,0.0,21.0,0.0
-0.0020990573367791663,-0.0020990573367791663,3.0,3.5,6,2.0,0.0,12.0,0.0
-0.003020443097137584,-0.003020443097137584,3.0,4.5,8,3.0,1.0,34.0,0.0
-0.007076548652467349,-0.007076548652467349,4.0,6.0,11,3.0,1.0,10.0,0.0
-0.018094448017251477,-0.018094448017251477,4.0,8.0,16,5.0,1.0,9.0,0.0
-0.00905989485587509,-0.00905989485587509,5.0,5.0,1,0.0,1.0,91.0,0.0
-0.007389733744856951,-0.007389733744856951,2.0,4.0,1,0.0,1.0,69.0,0.0
-0.016275105610316462,-0.016275105610316462,5.0,6.0,1,0.0,1.0,29.0,0.0
-0.02126789757173971,-0.02126789757173971,8.0,11.0,1,0.0,1.0,101.0,0.0
-0.010300203450773758,-0.010300203450773758,7.0,9.0,1,0.0,1.0,30.0,0.0
-0.02295814078028512,-0.02295814078028512,8.0,6.0,1,0.0,1.0,91.0,0.0
-0.010876368391734783,-0.010876368391734783,6.0,8.0,1,0.0,0.0,87.0,0.0
-0.02451354704829027,-0.02451354704829027,7.0,8.0,1,0.0,1.0,18.0,0.0
-0.01992813477956312,-0.01992813477956312,4.0,6.0,1,0.0,1.0,58.0,0.0
-0.011867085203080212,-0.011867085203080212,5.0,6.0,18,0.0,1.0,30.0,0.0
